codeql-clang,core.c,125,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:125-cpp/global-use-before-init:125,1,1,2,5,0.4
codeql,core.c,2296,cpp/conversion-changes-sign:2296,2,12,1,5,0.2
infer,cJSON.c,1664,INTEGER_OVERFLOW_L2:1664,4,46,2,5,0.4
clang,debug.c,505,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:506,32,167,3,5,0.6
codeql,core.c,1349,cpp/memory-may-not-be-freed:1351,2,11,1,5,0.2
infer,std_path.c,125,BUFFER_OVERRUN_L3:126,2,7,3,5,0.6
codeql,value.c,74,cpp/conversion-changes-sign:77,1,11,1,5,0.2
codeql,term.h,1005,cpp/conversion-changes-sign:1005,6,17,2,5,0.4
infer,compiler.c,2990,INTEGER_OVERFLOW_L2:2991,2,28,2,5,0.4
flawfinder,std_path.c,446,buffer/strlen:446,3,23,3,5,0.6
codeql-clang,debug.c,360,cpp/unsigned-comparison-zero:361-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:365,32,167,3,5,0.6
flawfinder,term.h,492,format/fprintf:492,1,5,1,5,0.2
codeql-flawfinder,argparse.h,520,cpp/conversion-changes-sign:520-format/fprintf:520,18,48,2,5,0.4
clang,debug.c,491,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:495,32,167,3,5,0.6
flawfinder,public.c,216,buffer/strlen:216,2,10,2,5,0.4
flawfinder,core.c,1557,buffer/strlen:1558,1,10,1,5,0.2
codeql,compiler.c,2569,cpp/conversion-changes-sign:2569-cpp/conversion-changes-sign:2570,2,5,1,5,0.2
flawfinder,std_io.c,58,buffer/fgetc:58,1,3,1,5,0.2
flawfinder,term.h,559,buffer/fgetc:559,4,20,2,5,0.4
clang,debug.c,478,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:482,32,167,3,5,0.6
semgrep-clang,value.c,370,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:371-c.lang.security.insecure-use-memset.insecure-use-memset:371,3,28,3,5,0.6
flawfinder,compiler.c,2779,buffer/strlen:2780,5,77,2,5,0.4
flawfinder,cwalk.c,112,buffer/strlen:112,1,2,1,5,0.2
codeql-clang,debug.c,600,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:604-cpp/conversion-changes-sign:604-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:602,32,167,3,5,0.6
infer,public.c,346,INTEGER_OVERFLOW_L2:350,1,14,1,5,0.2
codeql,public.c,1036,cpp/conditionally-uninitialized-variable:1037,2,27,1,5,0.2
infer,std_path.c,406,RESOURCE_LEAK:407,1,18,1,5,0.2
codeql,value.c,1300,cpp/conversion-changes-sign:1301,1,7,1,5,0.2
infer,cJSON.c,1658,INTEGER_OVERFLOW_L2:1659,4,46,2,5,0.4
infer,core.c,1220,INTEGER_OVERFLOW_L2:1220,1,13,1,5,0.2
flawfinder,term.h,557,format/fprintf:557-buffer/fgetc:559,4,20,2,5,0.4
codeql-clang,value.c,34,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:34-cpp/conversion-changes-sign:34,1,1,2,5,0.4
codeql-flawfinder,argparse.h,528,format/fprintf:529-format/fprintf:531-cpp/conversion-changes-sign:531-cpp/conversion-changes-sign:533-cpp/conversion-changes-sign:529-format/fprintf:533,18,48,2,5,0.4
flawfinder-clang,cJSON.c,965,buffer/memcpy:965-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:965,3,45,3,5,0.6
codeql-flawfinder,core.c,751,buffer/strlen:758-cpp/memory-may-not-be-freed:757-buffer/strlen:751,3,8,2,5,0.4
codeql,compiler.c,3007,cpp/conversion-changes-sign:3024,1,15,1,5,0.2
codeql,compiler.c,2287,cpp/conversion-changes-sign:2289,2,19,2,5,0.4
flawfinder,std_io.c,185,misc/fopen:185,2,30,2,5,0.4
flawfinder,argparse.h,497,buffer/strlen:497,18,48,2,5,0.4
semgrep-clang,cJSON.c,243,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:246-c.lang.security.insecure-use-memset.insecure-use-memset:246,1,5,2,5,0.4
codeql,value.c,225,cpp/conversion-changes-sign:225,3,75,1,5,0.2
codeql,vm.c,290,cpp/memory-may-not-be-freed:290,1,24,1,5,0.2
flawfinder-clang,public.c,599,buffer/sprintf:599-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:599,2,10,2,5,0.4
codeql,vm.c,1432,cpp/equality-on-floats:1432,22,467,3,5,0.6
semgrep-clang-flawfinder,std_path.c,79,buffer/strcpy:79-c.lang.security.insecure-use-string-copy-fn.insecure-use-string-copy-fn:79-security.insecureAPI.strcpy:80-security.insecureAPI.strcpy:79-c.lang.security.insecure-use-string-copy-fn.insecure-use-string-copy-fn:80-buffer/strcpy:80,4,6,3,5,0.6
flawfinder,public.c,514,buffer/strlen:514,2,46,2,5,0.4
clang,value.c,573,security.FloatLoopCounter:573,1,8,1,5,0.2
codeql,vm.c,1203,cpp/missing-null-test:1203,22,467,3,5,0.6
flawfinder,value.c,1742,buffer/strlen:1745,14,143,3,5,0.6
codeql,vm.c,465,cpp/memory-may-not-be-freed:471,3,41,2,5,0.4
codeql,compiler.c,934,cpp/return-value-ignored:934,2,62,1,5,0.2
codeql,cJSON.c,2573,cpp/missing-null-test:2573,1,15,1,5,0.2
infer,core.c,1285,INTEGER_OVERFLOW_L2:1286,1,5,1,5,0.2
codeql,term.h,801,cpp/conversion-changes-sign:801,2,9,1,5,0.2
semgrep-clang-flawfinder,cJSON.c,1402,security.insecureAPI.strcpy:1402-buffer/strcpy:1402-c.lang.security.insecure-use-string-copy-fn.insecure-use-string-copy-fn:1402,5,25,3,5,0.6
flawfinder-clang,cJSON.c,563,buffer/sprintf:563-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:563,6,23,3,5,0.6
codeql,term.h,877,cpp/operator-find-incorrectly-used-switch:880,1,27,1,5,0.2
codeql,core.c,1877,cpp/memory-may-not-be-freed:1877,2,11,1,5,0.2
codeql,core.c,2203,cpp/memory-may-not-be-freed:2205,2,27,2,5,0.4
semgrep-clang,value.c,354,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:355-c.lang.security.insecure-use-memset.insecure-use-memset:355,1,7,2,5,0.4
codeql,value.c,1263,cpp/conversion-changes-sign:1263,2,11,1,5,0.2
codeql,compiler.c,2580,cpp/conversion-changes-sign:2580,1,2,1,5,0.2
codeql,vm.c,1027,cpp/unsigned-comparison-zero:1027,22,467,3,5,0.6
infer,public.c,178,INTEGER_OVERFLOW_L1:178,1,10,1,5,0.2
flawfinder-clang,cJSON.c,986,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:1011-buffer/sprintf:1011,3,45,3,5,0.6
codeql,compiler.c,776,cpp/conversion-changes-sign:776,2,55,1,5,0.2
clang,public.c,689,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:689,1,6,1,5,0.2
codeql-flawfinder,term.h,981,buffer/fgetc:983-cpp/conversion-changes-sign:983,6,17,2,5,0.4
clang,debug.c,336,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:337,32,167,3,5,0.6
codeql,vm.c,1067,cpp/unsigned-comparison-zero:1067,22,467,3,5,0.6
codeql,core.c,2469,cpp/memory-may-not-be-freed:2470,1,33,1,5,0.2
codeql,vm.c,488,cpp/memory-may-not-be-freed:488,3,41,2,5,0.4
codeql,compiler.c,2860,cpp/missing-null-test:2862,5,77,2,5,0.4
flawfinder,core.c,2121,buffer/strlen:2122,4,83,2,5,0.4
clang,debug.c,626,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:631,32,167,3,5,0.6
semgrep-clang-flawfinder,cJSON.c,1393,buffer/strcpy:1393-c.lang.security.insecure-use-string-copy-fn.insecure-use-string-copy-fn:1393-security.insecureAPI.strcpy:1393,5,25,3,5,0.6
codeql,value.c,1191,cpp/conversion-changes-sign:1191,3,37,1,5,0.2
codeql,core.c,2383,cpp/memory-may-not-be-freed:2383,5,46,1,5,0.2
codeql,core.c,934,cpp/memory-may-not-be-freed:934-cpp/conversion-changes-sign:934,1,7,1,5,0.2
semgrep-clang,value.c,445,c.lang.security.insecure-use-memset.insecure-use-memset:450-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:450,4,34,3,5,0.6
semgrep-clang-flawfinder,cJSON.c,1384,c.lang.security.insecure-use-string-copy-fn.insecure-use-string-copy-fn:1384-security.insecureAPI.strcpy:1384-buffer/strcpy:1384,5,25,3,5,0.6
clang-flawfinder,core.c,1777,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:1778-buffer/memcpy:1778,2,21,3,5,0.6
infer,core.c,879,INTEGER_OVERFLOW_L2:880,1,7,1,5,0.2
codeql,compiler.c,2805,cpp/conversion-changes-sign:2805,5,77,2,5,0.4
flawfinder,std_path.c,169,buffer/strlen:169,1,21,1,5,0.2
flawfinder,cJSON.c,198,buffer/strlen:198,2,7,2,5,0.4
codeql,vm.c,1422,cpp/equality-on-floats:1424,22,467,3,5,0.6
flawfinder-clang,cJSON.c,1422,buffer/memcpy:1422-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:1422,5,25,3,5,0.6
codeql,core.c,2250,cpp/conversion-changes-sign:2254-cpp/conversion-changes-sign:2253,4,21,1,5,0.2
semgrep-codeql-clang,value.c,445,cpp/conversion-changes-sign:487-cpp/conversion-changes-sign:480-cpp/conversion-changes-sign:470-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:450-c.lang.security.insecure-use-memset.insecure-use-memset:450,4,34,3,5,0.6
flawfinder,debug.c,724,format/printf:727,3,11,1,5,0.2
infer,vm.c,502,INTEGER_OVERFLOW_L2:502,3,41,2,5,0.4
codeql-clang,argparse.h,447,cpp/conversion-changes-sign:450-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:449,3,26,3,5,0.6
codeql-infer,cJSON.c,1443,cpp/missing-null-test:1494-INTEGER_OVERFLOW_L2:1501,2,39,2,5,0.4
flawfinder-clang,debug.c,205,buffer/sprintf:211-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:211,3,26,3,5,0.6
flawfinder,term.h,567,buffer/fgetc:567,4,20,2,5,0.4
codeql,std_path.c,287,cpp/return-value-ignored:288,1,12,1,5,0.2
codeql,value.c,470,cpp/conversion-changes-sign:470,4,34,3,5,0.6
codeql,value.c,1208,cpp/conversion-changes-sign:1208-cpp/conversion-changes-sign:1209,3,37,1,5,0.2
codeql,vm.c,926,cpp/memory-may-not-be-freed:926,22,467,3,5,0.6
codeql,vm.c,1043,cpp/unsigned-comparison-zero:1044,22,467,3,5,0.6
flawfinder-codeql-clang,value.c,699,buffer/memcpy:719-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:719-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:724-cpp/missing-null-test:719-cpp/conversion-changes-sign:719-cpp/inconsistent-nullness-testing:719-buffer/memcpy:724,7,36,3,5,0.6
codeql,compiler.c,3023,cpp/conversion-changes-sign:3024,1,15,1,5,0.2
codeql,core.c,244,cpp/memory-may-not-be-freed:245,1,9,1,5,0.2
flawfinder,public.c,294,buffer/strlen:296,1,17,1,5,0.2
codeql,compiler.c,793,cpp/conversion-changes-sign:793,2,55,1,5,0.2
clang,cwalk.c,66,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:66,1,5,1,5,0.2
codeql,std_io.c,207,cpp/equality-on-floats:214,4,47,2,5,0.4
clang-flawfinder,cJSON.c,1949,buffer/memcpy:1949-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:1949,1,9,2,5,0.4
flawfinder,vm.c,350,buffer/strlen:352-buffer/strlen:351,2,5,1,5,0.2
codeql,cJSON.c,565,cpp/equality-on-floats:565,6,23,3,5,0.6
codeql,value.c,779,cpp/memory-may-not-be-freed:779,2,24,1,5,0.2
codeql,cJSON.c,1494,cpp/missing-null-test:1494,2,39,2,5,0.4
flawfinder,std_path.c,72,buffer/strlen:73-buffer/strlen:72,4,6,3,5,0.6
codeql,term.h,549,cpp/conversion-changes-sign:549,4,20,2,5,0.4
flawfinder,public.c,204,buffer/strlen:204,1,11,1,5,0.2
flawfinder,std_os.c,288,buffer/getenv:288,1,8,1,5,0.2
flawfinder,value.c,1313,buffer/strlen:1316-buffer/strlen:1325,2,10,1,5,0.2
codeql,compiler.c,2603,cpp/memory-may-not-be-freed:2611,3,45,1,5,0.2
codeql-clang,value.c,32,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:32-cpp/conversion-changes-sign:32,1,1,2,5,0.4
flawfinder,value.c,1725,buffer/strlen:1728,14,143,3,5,0.6
codeql-clang,term.h,970,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:970-cpp/conversion-changes-sign:970,2,5,2,5,0.4
flawfinder,main.c,107,format/fprintf:107,2,31,1,5,0.2
codeql,vm.c,1066,cpp/unsigned-comparison-zero:1067,22,467,3,5,0.6
codeql-flawfinder,core.c,1408,cpp/missing-null-test:1412-buffer/strlen:1412,4,42,3,5,0.6
flawfinder,term.h,592,format/fprintf:592,1,2,1,5,0.2
